Poem Name_SN,Poem Name_EN,Poet_SN,Poet_EN,Year,Line,Metaphor present or not,Count of the metaphor,Target domain,Source domain,Metaphorical term
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,වැස්ස නැතිකොට නියං සායක්,yes,1,නියං,සායක්,නියං සායක්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,මව් පියන් සෙනෙහේ කැටිය,yes,1,මව් පියන්,සෙනෙහේ කැටිය,මව් පියන් සෙනෙහේ කැටිය
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,මගේ හදවිල් දියම,yes,1,මගේ හදවිල්,දියම,මගේ හදවිල් දියම
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,දිවි සයුරේ ඇත නොනිමෙනා,yes,1,දිවි ,සයුරේ,දිවි සයුරේ 
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,දොර ළඟ පායලා මගෙ පුන්සඳ පහන,yes,1,පුන්සඳ,පහන,පුන්සඳ පහන
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,විශ්වය මිහිරි ගීයකි ඒ තමයි බබා,yes,1,විශ්වය,මිහිරි ගීයකි,විශ්වය මිහිරි ගීයකි
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,මේ වන් කැකුඵ‍ ලෝකයටම හිරු සඳුය,yes,1,කැකුඵ‍,හිරු සඳුය,කැකුඵ‍ ලෝකයටම හිරු සඳුය
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,දිවියට මගේ නුඹ මැණිකකි,yes,1,දිවියට මගේ,නුඹ මැණිකකි,දිවියට මගේ නුඹ මැණිකකි
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,හිරු සඳුවුණා මගෙ ජීවන ගුවන් ගැබ,yes,1,හිරු සඳුවුණා,මගෙ ජීවන ගුවන් ගැබ,හිරු සඳුවුණා මගෙ ජීවන ගුවන් ගැබ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,සතුටක් ළඟදි සතුටට නුඹ උල්පත්ව,yes,1,සතුටට,නුඹ උල්පත්ව,සතුටට නුඹ උල්පත්ව
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,අමිල සම්පත ජල නිධානය,yes,2,අමිල සම්පත,ජල නිධානය,අමිල සම්පත ජල නිධානය
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,අමිල සම්පත ජල නිධානය,yes,2,ජල ,නිධානය,ජල නිධානය
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,ගසවට හැදුවේ මම විස ඇති කටු වැටකී,yes,1,මම,විස ඇති කටු වැටකී,මම විස ඇති කටු වැටකී
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,සිහින අහසේ උසට,yes,1,සිහින,අහසේ උසට,සිහින අහසේ උසට
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,ඇසි දිසි මානයේ පැතිරුණු අහස් ගඟ,yes,1,අහස්,ගඟ,අහස් ගඟ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,අන්දා වලා සළුවක් නුඹ රුසිරු ගත,yes,1,වලා,සළුවක්,වලා සළුවක්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,මුදු සඳ පහන් එළියෙහී,yes,1,සඳ ,පහන්,සඳ පහන්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,සෙනෙහෙ දියරේ සොඳුර නහවන හැටී,yes,1,සෙනෙහෙ,දියරේ,සෙනෙහෙ දියරේ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,යුක්තියේ ගෙල මිරිකු දෑතේ,yes,1,යුක්තියේ ,ගෙල,යුක්තියේ ගෙල
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,නොබෙදුවත් රන්මසු සිනාවෙන,yes,1,රන්මසු,සිනාවෙන,රන්මසු සිනාවෙන
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,කිරණ ගලන්නට සිත් කුටියේ දොර විවර වුණා දැනුණා,yes,1,සිත්,කුටියේ,සිත් කුටියේ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,කිරි සයුරක් අද්දර යුවලක් සඳ එළියෙන් නැහැවෙනු දුටුවා,yes,1,කිරි,සයුරක්,කිරි සයුරක්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,විරු පුතෙකි වටිනාම රත්තරන්,yes,1,පුතෙකි,වටිනාම රත්තරන්,පුතෙකි වටිනාම රත්තරන්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් පුත රන්,yes,1,රන්,පුත,රන් පුත
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් පුන්සඳ,yes,1,රන්,පුන්සඳ,රන් පුන්සඳ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,සිහින මල් මාවතේ,yes,1,සිහින,මල් මාවතේ,සිහින මල් මාවතේ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් දෑතින්,yes,1,රන් ,දෑතින්,රන් දෑතින්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන්වන් සිනහව,yes,1,රන්වන්,සිනහව,රන්වන් සිනහව
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් බෝපත්,yes,1,රන්,බෝපත්,රන් බෝපත්
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් අස්වනු,yes,1,රන් ,අස්වනු,රන් අස්වනු
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් දෙතොලේ,yes,1,රන් ,දෙතොලේ,රන් දෙතොලේ
මගේ පුංචි රෝස මලේ,Mage Punchi Rosa Male,ධම්මික බණ්ඩාර,Dhammika Bandara,2010,තබා ඉවුරේ සිනා මුතු පබළු,yes,1,සිනා,මුතු පබළු,සිනා මුතු පබළු
මගේ පුංචි රෝස මලේ,Mage Punchi Rosa Male,ධම්මික බණ්ඩාර,Dhammika Bandara,2010,නිල් ගගනතේ නුඹ අඩසඳයි,yes,1,නුඹ,අඩසඳයි,නුඹ අඩසඳයි
වසන්ත සමය,wasantha samaya,අරිසෙන් අහුබුදු,Arisen Ahubudu,-,මූළු ලොව උයනක් කරවන්නී,yes,1,ලොව,උයනක්,ලොව උයනක්
වසන්ත සමය,wasantha samaya,අරිසෙන් අහුබුදු,Arisen Ahubudu,-,සොරුන් බවට වවුලන් ලන්නී,yes,1,වවුලන්,සොරුන්,සොරුන් බවට වවුලන්
මගේ රට,mage rata,පී.බී.අල්විස් පෙරේරා,P.B Alwis Perera,1947,සීතල රිදී දියවැල් පහළට ඇ ද්දේ,yes,1,රිදී,දියවැල්,රිදී දියවැල්
මගේ රට,mage rata,පී.බී.අල්විස් පෙරේරා,P.B Alwis Perera,1947,දිවයින මගේ මුළු ලෝකය කරන වසී,yes,1,දිවයින,මගේ මුළු ලෝකය,දිවයින මගේ මුළු ලෝකය
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,ගජසෙන් සිතියම් ගජ සිරි කියෙලී,yes,1,ගජසෙන්,සිතියම්,ගජසෙන් සිතියම්
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,සිති විලි නැති රු විලස මුවෝ යා,yes,1,සිති විලි නැති රු විලස,මුවෝ යා,සිති විලි නැති රු විලස මුවෝ යා
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,රන් කෙත්වල,yes,1,රන් ,කෙත්වල,රන් කෙත්වල
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,එ සඳ එ නිරිඳු සඳ ගුරු වුයෙන් තමා,yes,1,නිරිඳු,සඳ,නිරිඳු සඳ
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,සුර සබ කිරි සයුර එගුත්තිල ඇදුරා,yes,1,සුර සබ,කිරි සයුර,සුර සබ කිරි සයුර
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,මනකල් තමලුපුල් වන මිණි ගණ පෙනිණි,yes,1,තමලුපුල් වන ,මිණි ගණ,තමලුපුල් වන මිණි ගණ මිණි ගණ
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,මිණිමුතු පෙළින් බබළන මේකලාවන්,yes,1,මිණිමුතු,මේකලාවන්,මිණිමුතු පෙළින් බබළන මේකලාවන්
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,නරනිඳු පද කමල වැඳ වන බව අප නො සම සම,yes,1,නරනිඳු ,පද කමල,නරනිඳු පද කමල
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,රන් රසු දැල් ගිගිළි රන් දද පෙළින්වු එළි,yes,1,රන් දද,රන් රසු දැල්,රන් රසු දැල් ගිගිළි රන් දද පෙළින්වු එළි
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,"සොඳුර, නුඹ වාගේ ම හිනැහේය මා එක්ක",no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,කුඹුක්‌ අතු වතුර අතගගා නැමිලා දියට,no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,පුර පසේ සඳ එක්ක තරගයට මෝරන්ට,no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,දෙවැට දිග කරඳවැල්‌ ආරුක්කු යට සැඟව,no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,මිහිරි මවුකිරි වගේ පොචන්නෙමි නුඹලාට,no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,කුරුල්ලෝ ඉගිල්ලී වරෙන්‌ නුඹ මා ළඟට,no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,වැහි වතුර ඉහිනවා නම්‌ ඔවුන්‌ විහිළුවට,no,0,-,-,-
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,වැසි සමේ රෑ ඇඳේ සිහිනයක්‌ චී ඉන්න,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,කඳු බෑවුමක දං - බෝවිටි පඳුරු තළා,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,පහළට ඇඳී පර මල්‌ පෙති ඉවත නොළා,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,සංගීතවත්‌ චී යමි ඉදිරියට ගලා,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,සම තැනිතලාවල හමු වෙයි අලසකම,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,නිරසයි අතරමඟ අවහිර නුදුටු බිම,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,ගල්‌ පරවල ම හැපි හැපි බිහි කරමිම ම,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,සමහර තැනක ලස්සන මල්‌ කැකුළු තියේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,සුළි මැද කැරැකෙමින්‌ ඉඳුනිල්‌ ගැඹුරු දියේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,ඇකයෙහි හෙළා හඬවයි සැඬ සුළඟ රැයේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,මී අඹ - කිරල - මාදම්‌ ගෙඩි ළදරු ච්යේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,මිනිසුන්‌ ගිහින්‌ නිතර ම ආපසු එ න්නේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,ඔබ කුමකට ද මා දුටු තැන විමසන්‌ නේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,එන්නේ කොහි සිට ද - කොතැනනටද යන්නේ,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,හමු වුණු කෙණෙහි මා සතු බර ඔහුට දෙමි,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,කවදා කොතැනක දි හෝ මහ මුහුදු හිමි,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,ඇඹරෙමි - එහෙත්‌ පසු නොබසිමි - නොනවතිමි,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,සැඟවෙමි - එබෙමි - නිසසල වෙමි - සසල වෙමි,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,මිනිසුන්‌ ඉවුරුවල යන එන අඩි සද්දෙන්‌,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,කොඳුරමි කෙඳිරියක්‌ මුළු ලොව නිසල කොට,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,නොමියන හේලි දහමක පණිවුඩය පිට,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,මල්‌ පෙති වියළි කොළ එන අතකට එද්දෙ න්‌,no,0,-,-,-
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,කෙකටිය ඕලු නළියන දිය රැළි මැද්දෙ න්‌,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මුනි සිරිපා සිඹිමින්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,සමනොළ ගිරි පෙදෙසින්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මඳ සුළඟයි මේ එන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මගේ පුතා නිඳියන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,යුතුකම ඉටු කළ යුතු වේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,විජය තුමා තම්මැන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,පිරිවර සෙන්‌ සමගින්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,සිටි සැටි දැන්‌ සිහිවෙන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මගේ පුතා නැළවෙන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,දෙන දිවි මුන්‌ රට වෙනුවෙන්‌,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ජාතික දරුවන්‌ ලැබුවෙන්‌,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මිදි නොයෙක්‌ සතුරු මුවෙන්‌,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ලක්‌ මව්‌ විසුවාය සුවෙන්‌,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,තවුසකු සේ ඇඳ පළඳා,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,පඬුවස්දෙව්‌ මහ රාජිඳා,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මාකඳුරින්‌ ගොඩ බට දා,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මඟුලක්‌ වී ලක මුළු දා,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,සිරි ලක දිව්‌ බබළන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මගේ පුතා ලොකු වෙන්නේ,no,0,-,-,-
